comment,commission_year,elected,portfolio,id,one_seat,country_id,commission_name,incumbent,person_id,person_id_source,start_date,end_date,score_position,party_id,president,highest_position,data_source,government_party,previous_cabinet_id
,2004,1,financial programming and budget,225,1,15,Barroso I,0,3567,"Šemeta, Algirdas",2009-07-01,2009-10-31,1.74,1045,1,minister finance,munzinger,10,688
according to Wikipedia close to PO http://de.wikipedia.org/wiki/Kommission_Barroso_I,2004,1,regional policy,226,1,74,Barroso I,0,16864,"Samecki, Pawel",2009-07-04,2009-10-31,0.5,1011,0,deputy minister of finance. acting secretary of the Committee for European Integration,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",11,164
according to Wikipedia close to SMER http://de.wikipedia.org/wiki/Europ%C3%A4ische_Kommission,2004,0,education. training. culture and mulitlingualism,227,1,1,Barroso I,0,16865,"Šefčovič, Maroš",2009-10-01,2009-10-31,0.2,1359,0,Ambassador. Slovakian permanent representative to the EU,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",11,269
,2004,1,development and humanitarian aid,228,1,64,Barroso I,0,15520,"De Gucht, Karel",2009-07-17,2009-10-31,1.28,1110,0,minister foreign affairs and european affairs,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,80
,2010,1,competition,229,1,27,Barroso II,1,15779,"Almunia, Joaquin",2010-02-10,2014-10-31,1.03,902,0,minister employment,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,497
,2010,0,employment. social affairs and inclusion,230,1,39,Barroso II,0,16866,"Andor, László",2010-02-10,2014-10-31,0.2,1591,0,member of the board of directors EBRD,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,162
,2010,1,high representative of the union for foreign affairs and security policy,231,1,44,Barroso II,1,9961,"Ashton, Catherine",2010-02-10,2014-10-31,1.0,1556,0,leader of the house of lords,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,119
,2010,1,internal market and services,232,1,43,Barroso II,0,6420,"Barnier, Michel",2010-02-10,2014-10-31,1.45,658,0,minister foreign affairs,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,306
member cabinett Popescu-Tariceanu III; Duration: 2007-04-05 – 2008-11-30. at the time of nomination other parties were in power,2010,1,agriculture and rural development,233,1,23,Barroso II,0,16867,"Cioloş, Dacian",2010-02-10,2014-10-31,0.97,761,0,minister agriculture and rural development,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",11,993
,2010,1,maritime affairs and fisheries,234,1,41,Barroso II,0,16868,"Damanaki, Maria",2010-02-10,2014-10-31,0.33,1338,0,mp/mep,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,224
Malta is not coded in Druckman/Warwick; average position score of finance minister (1.64) used; see codebook,2010,1,health and consumer policy,235,1,72,Barroso II,0,11019,"Dalli, John",2010-02-10,2012-10-16,1.64,984,0,"minister finance and economic affairs, foreign minister","afp, dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,468
,2010,1,trade,236,1,64,Barroso II,1,15520,"De Gucht, Karel",2010-02-10,2014-10-31,1.28,1110,0,minister foreign affairs and european affairs,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,431
,2010,1,enlargement and european neighbourhood policy,237,1,68,Barroso II,0,16869,"Füle, Štefan",2010-02-10,2014-10-31,1.0,1567,0,minister european affairs,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,157
,2010,1,"research, innovation and science",238,1,37,Barroso II,0,8185,"Geoghegan-Quinn, Máire",2010-02-10,2014-10-31,1.24,280,0,minister justice,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,173
close to Citizens for European Development of Bulgaria (GERB),2010,0,international cooperation. humanitarian aid and crisis response,239,1,10,Barroso II,0,16870,"Georgieva, Kristalina",2010-02-10,2014-10-31,0.2,1541,0,vice president and corporate secretary of the World Bank Group,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,805
,2010,0,regional policy,240,1,59,Barroso II,0,1416,"Hahn, Johannes",2010-02-10,2014-10-31,0.89,1013,0,minister science and research,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,268
,2010,1,climate action,241,1,21,Barroso II,0,6095,"Hedegaard, Connie",2010-02-10,2014-10-31,1.33,590,0,minister environment,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,71
,2010,1,transport,242,1,75,Barroso II,1,16396,"Kallas, Siim",2010-02-10,2014-10-31,2.25,113,0,prime minister,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,902
,2010,1,digital agenda,243,1,8,Barroso II,1,10749,"Kroes, Neelie",2010-02-10,2014-10-31,0.92,1409,0,minister transport,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",11,69
,2010,1,financial programming and budget,244,1,74,Barroso II,0,14860,"Lewandowski, Janusz",2010-02-10,2014-10-31,1.14,512,0,minister privatisation,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,164
position score 0.65 second or subordinate ministers,2010,1,home affairs,245,1,35,Barroso II,0,9042,"Malmström, Cecilia",2010-02-10,2014-10-31,0.65,892,0,minister european affairs,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,475
,2010,1,energy,246,1,54,Barroso II,0,16863,"Oettinger, Günther",2010-02-10,2014-10-31,1.0,808,0,minister-president of Baden-Württemberg,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,472
,2010,1,development,247,1,55,Barroso II,1,16359,"Piebalgs, Andris",2010-02-10,2014-10-31,1.64,662,0,minister finance,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",11,477
close to LDS according to Wikipedia,2010,1,environment,248,1,60,Barroso II,1,12406,"Potocnik, Janez",2010-02-10,2014-10-31,1.07,1370,0,minister without portfolio (European affairs),"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,803
,2010,1,justice. fundamental rights and citizenship,249,1,7,Barroso II,1,1129,"Reding, Viviane",2010-02-10,2014-10-31,0.33,1234,0,mp/mep,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,601
,2010,1,economic and monetary affairs,250,1,67,Barroso II,1,1265,"Rehn, Olli",2010-02-10,2014-07-01,0.33,94,1,mp/mep,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,277
according to Wikipedia close to SMER http://de.wikipedia.org/wiki/Europ%C3%A4ische_Kommission,2010,0,inter-institutional relations and administration,251,1,1,Barroso II,1,16865,"Šefčovič, Maroš",2010-02-10,2014-10-31,0.2,1359,0,Ambassador. Slovakian permanent representative to the EU,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",11,269
,2010,1,taxation and customs union. audit and anti-fraud,252,1,15,Barroso II,1,3567,"Šemeta, Algirdas",2010-02-10,2014-10-31,1.74,1045,1,minister finance,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,1632
,2010,1,industry and entrepreneurship,253,1,26,Barroso II,1,6887,"Tajani, Antonio",2010-02-10,2014-10-31,0.33,596,0,mp/mep,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",11,823
,2010,1,education. culture. multilingualism and youth,254,1,51,Barroso II,1,12688,"Vassiliou, Androulla",2010-02-10,2014-10-31,0.33,1523,0,mp/mep,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",11,289
,2010,1,president,255,1,63,Barroso II,1,3890,"Barroso, Jose Manuel",2010-02-10,2014-10-31,2.2,1273,1,prime minister,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",11,858
Malta is not coded in Druckman/Warwick; average position score of finance minister (1.64) used; see codebook,2010,1,health,256,1,72,Barroso II,1,16218,"Borg, Tonio",2012-11-28,2014-10-31,1.64,984,0,"minister finance and economic affairs, foreign minister","afp, dw-05",11,468
,2014,1,president,257,1,7,Juncker,0,2240,"Juncker, Jean-Claude ",2014-11-01,2019-11-30,2.17,1234,1,prime minister,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",11,1069
,2014,1,high representative of the union for foreign affairs and security policy,258,1,26,Juncker,0,17106,"Mogherini, Federica ",2014-11-01,2019-11-30,1.69,382,0,minister foreign affairs,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,1079
,2014,1,"Better Regulation, Inter-Institutional Relations, the Rule of Law and the Charter of Fundamental Rights",259,1,8,Juncker,0,17107,"Timmermans, Frans ",2014-11-01,2019-11-30,1.16,742,0,minister foreign affairs,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,1041
,2014,0,Budget & Human Resources,260,1,10,Juncker,1,16870,"Georgieva, Kristalina",2014-11-01,2016-12-31,0.2,1541,0,"vice president world bank, professor","ec.europa.eu, munzinger, parlgov",11,1139
,2014,1,Digital Single Market,261,1,75,Juncker,0,96,"Ansip, Andrus ",2014-11-01,2019-07-01,2.25,113,0,prime minister,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,1095
"Add second entry for succeeding Commission office of Jonathan Hill since 2016-07-16? (Financial Stability, Financial Services and Capital Markets Union)",2014,1,"Euro & Social Dialogue [+ Financial Stability, Financial Services and Capital Markets Union since 2016-07-16]",262,1,55,Juncker,0,11889,"Dombrovskis, Valdis",2014-11-01,2019-11-30,2.14,1666,0,prime minister ,"ec.europa.eu, munzinger, parlgov",10,1073
,2014,1,"Jobs, Growth, Investment and Competitiveness",263,1,67,Juncker,1,16803,"Katainen, Jyrki ",2014-11-01,2019-11-30,2.53,1118,0,prime minister,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,1145
Add second entry for succeeding Commission office of Andrus Ansip since 2019-07-03? (Digital Single Market),2014,0,Transport & Space [+ Digital Single Market since 2019-07-03],264,1,1,Juncker,1,16865,"Šefčovič, Maroš ",2014-11-01,2019-11-30,0.2,220,0,diplomat,"ec.europa.eu, munzinger, parlgov",10,1027
Add second entry for succeeding Commission office of Kristalina Georgieva since 2017-01-01? (Budget and Human Resources),2014,1,Digital Economy & Society [+ Budget and Human Resources since 2017-01-01],265,1,54,Juncker,1,16863,"Oettinger, Günther ",2014-11-01,2019-11-30,1.0,808,0,minister-president of a federral German state,"ec.europa.eu, munzinger, parlgov",10,1071
Add second entry for succeeding Commission office of Corina Cretu since 2019-07-03? (Regional Policy),2014,1,European Neighbourhood Policy & Enlargement Negotiations [+ Regional Policy since 2019-07-03],266,1,59,Juncker,1,1416,"Hahn, Johannes ",2014-11-01,2019-11-30,0.89,1013,0,federal minister of science and research ,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,1070
,2014,1,Trade,267,1,35,Juncker,1,9042,"Malmström, Cecilia ",2014-11-01,2019-11-30,1.0,892,0,minister für eu affairs ,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,1149
,2014,1,International Cooperation & Development,268,1,62,Juncker,0,17109,"Mimica, Neven ",2014-11-01,2019-11-30,1.18,1493,0,minister for eu integration,"dr-08, dw-05, ec.europa.eu, parlgov",10,1056
,2014,1,Climate Action & Energy,269,1,27,Juncker,0,4248,"Arias Cañete, Miguel ",2014-11-01,2019-11-30,0.92,645,0,"minister for agriculture, food and environment ","ec.europa.eu, parlgov",10,988
,2014,1,"Environment, Maritime Affairs and Fisheries",270,1,72,Juncker,0,10616,"Vella, Karmenu ",2014-11-01,2019-11-30,0.68,1003,0,minister of tourism ,"ec.europa.eu, parlgov",10,1046
,2014,1,Health & Food Safety,271,1,15,Juncker,0,17117,"Andriukaitis, Vytenis ",2014-11-01,2019-11-30,0.97,1277,0,minister of health ,"dr-08, dw-05, ec.europa.eu, parlgov",10,1633
,2014,1,Migration & Home Affairs,272,1,41,Juncker,0,8210,"Avramopoulos, Dimitris ",2014-11-01,2019-11-30,0.91,47,0,minister of defence,"ec.europa.eu, parlgov",10,1060
,2014,1,"Employment, Social Affairs, Skills and Labour Mobility",273,1,64,Juncker,0,8076,"Thyssen, Marianne ",2014-11-01,2019-11-30,0.33,723,0,mp/mep,"dr-08, dw-05, ec.europa.eu, parlgov",10,1147
,2014,1,"Economic and Financial Affairs, Taxation and Customs",274,1,43,Juncker,0,7675,"Moscovici, Pierre ",2014-11-01,2019-11-30,1.92,1539,0,minister of finance,"dr-08, dw-05, ec.europa.eu, munzinger, parlgov",10,1141
,2014,1,Humanitarian Aid & Crisis Management,275,1,51,Juncker,0,17116,"Stylianides, Christos ",2014-11-01,2019-11-30,0.33,1575,0,mp/mep,"dr-08, dw-05, ec.europa.eu, parlgov",10,1086
,2014,1,Agriculture & Rural Development,276,1,37,Juncker,0,16586,"Hogan, Phil ",2014-11-01,2019-11-30,0.93,1393,0,minister of environment ,"dr-08, dw-05, ec.europa.eu, parlgov",10,904
,2014,1,"Financial Stability, Financial Services and Capital Markets Union",277,1,44,Juncker,0,17115,"Hill, Jonathan",2014-11-01,2016-07-15,1.0,773,0,"leader of the house of Lords, chancelor of duekdom","ec.europa.eu, munzinger, parlgov",10,874
,2014,1,"Internal Market, Industry, Entrepreneurship and SMEs",278,1,74,Juncker,0,17114,"Bieńkowska, Elżbieta",2014-11-01,2019-11-30,1.42,512,0,deputy prime minister,"dr-08, dw-05, ec.europa.eu, parlgov",10,1146
druckman_roberts 2008: housing and regions,2014,1,"Justice, Consumers and Gender Equality",279,1,68,Juncker,0,17113,"Jourová, Vĕra ",2014-11-01,2019-11-30,0.95,2263,0,minister for regional development,"dr-08, dw-05, ec.europa.eu, parlgov",10,1072
,2014,1,"Education, Culture, Youth and Citizenship",280,1,39,Juncker,0,17112,"Navracsics, Tibor ",2014-11-01,2019-11-30,1.51,921,0,minister of foreign affairs and trade,"dr-08, dw-05, ec.europa.eu, parlgov",10,1104
"Maybe add party change? Cretu joined PRO Romania in 2019 (January/March ?), but was not able to get re-elected into the European Parliament in May 2019",2014,1,Regional Policy,281,1,23,Juncker,0,17111,"Creţu, Corina ",2014-11-01,2019-07-01,0.33,1120,0,mp/mep,"dr-08, dw-05, ec.europa.eu, parlgov",10,1085
,2014,1,Competition,282,1,21,Juncker,0,15513,"Vestager, Margrethe ",2014-11-01,2019-11-30,1.27,211,0,minister of economy and interior,"dr-08, dw-05, ec.europa.eu, parlgov",10,1074
,2014,1,"Research, Science and Innovation",283,1,63,Juncker,0,17110,"Moedas, Carlos",2014-11-01,2019-11-30,0.5,1273,0,secretary of state,"dr-08, dw-05, ec.europa.eu, parlgov",10,917
,2010,1,Consumer Policy,284,1,62,Barroso II,0,17109,"Mimica, Neven",2010-02-10,2014-10-31,1.16,1493,0,deputy prime minister,"dr-08, dw-05, ec.europa.eu, parlgov",10,1055
,2014,1,transport,285,1,60,Juncker,0,17121,"Bulc, Violeta",2014-11-01,2019-11-30,1.07,2333,0,minister without portfolio,"dr-08, dw-05, ec.europa.eu, parlgov",10,1144
,2014,1,Digital Economy and Society,286,1,10,Juncker,0,17163,"Gabriel, Mariya",2017-07-07,2019-11-30,0.33,1541,0,MEP,,10,1505
,2019,1,president,287,1,54,Von der Leyen,0,11059,"Von der Leyen, Ursula",2019-12-01,,1.21,808,1,minister of labour and social affairs,dw-05,10,1528
,2019,1,European Green Deal,288,1,8,Von der Leyen,1,17107,Frans Timmermans,2019-12-01,,1.16,742,0,minister of foreign affairs,,11,1530
,2019,1,An Economy that Works for People,289,1,55,Von der Leyen,1,11889,Valdis Dombrovskis,2019-12-01,,2.14,1666,0,prime minister,,10,1592
,2019,1,A Stronger Europe in the World,290,1,27,Von der Leyen,0,1468,Josep Borrell Fontelles,2019-12-01,,1.43,902,0,minister of foreign affairs,,10,1601
,2019,0,Interinstitutional Relations and Foresight,291,1,1,Von der Leyen,1,16865,"Šefčovič, Maroš ",2019-12-01,,0.2,220,0,diplomat,,10,1529
,2019,1,Values and Transparency,292,1,68,Von der Leyen,1,17113,"Jourová, Vĕra ",2019-12-01,,0.95,2263,0,minister for regional development,dw-05,10,1534
,2019,1,Democracy and Demography,293,1,62,Von der Leyen,0,17175,Dubravka Šuica,2019-12-01,,0.2,276,0,mayor,,10,1512
,2019,1,Promoting our European Way of Life,294,1,41,Von der Leyen,0,7024,Margaritis Schinas,2019-12-01,,0.33,47,0,mep,,10,1597
,2019,1,Budget and Administration,295,1,59,Von der Leyen,1,1416,Johannes Hahn,2019-12-01,,0.89,1013,0,federal minister of science and research ,dr-08,10,1608
,2019,1,Trade,296,1,37,Von der Leyen,1,16586,Phil Hogan,2019-12-01,,0.93,1393,0,minister of environment,dr-08,10,1511
,2019,1,"Innovation, Research, Culture, Education and Youth",297,1,10,Von der Leyen,1,17163,Mariya Gabriel,2019-12-01,,0.33,1541,0,mep,,10,1505
,2019,1,Jobs and Social Rights,298,1,7,Von der Leyen,0,17176,Nicolas Schmitt,2019-12-01,,0.33,701,0,mep,,10,1588
,2019,1,Economy,299,1,26,Von der Leyen,0,17177,Paolo Gentiloni,2019-12-01,,2.48,382,0,prime minister,dw-05,10,1603
,2019,1,Agriculture,300,1,74,Von der Leyen,0,13482,Janusz Wojciechowski,2019-12-01,,0.33,528,0,mep,,10,1611
,2019,,Internal Market,301,1,43,Von der Leyen,0,8103,Thierry Breton,2019-12-01,,1.92,947,0,"minister of economy, finance and industry",dw-05,12,1509
,2019,1,Cohesion and Reforms,302,,63,Von der Leyen,0,7429,Elisa Ferreira,2019-12-01,,0.81,725,0,minister for environment,,10,1610
,2019,1,Health and Food Safety,303,1,51,Von der Leyen,0,17178,Stella Kyriakides,2019-12-01,,0.33,1575,0,mp,,10,1628
,2019,,Justice,304,1,64,Von der Leyen,0,10682,Didier Reynders,2019-12-01,,1.35,915,0,minister of finance,dw-05,10,1622
,2019,1,Equality,305,1,72,Von der Leyen,0,17179,Helena Dalli,2019-12-01,,1.0,1003,0,minister of european affairs and equality,,10,1504
,2019,1,Home Affairs,306,1,35,Von der Leyen,0,4867,Ylva Johansson,2019-12-01,,1.26,904,0,minister of employment,dw-05,10,1590
,2019,0,Crisis Management,307,1,60,Von der Leyen,0,17180,Janez Lenarčič,2019-12-01,,0.2,1370,0,diplomat,,12,1555
,2019,1,Transport,308,1,23,Von der Leyen,0,32,Adina Vălean,2019-12-01,,0.33,1015,0,mep/mp,,10,1619
,2019,0,Neighbourhood and Enlargement,309,1,39,Von der Leyen,0,17181,Olivér Várhelyi,2019-12-01,,0.2,921,0,bureaucrat,,10,1531
,2019,1,International Partnerships,310,1,67,Von der Leyen,0,16990,Jutta Urpilainen,2019-12-01,,1.0,395,0,minister of finance and deputy minister,dw-05,10,1596
,2019,,,311,1,75,Von der Leyen,0,17182,Kadri Simson,2019-12-01,,1.21,1137,0,minister of economic affairs and infrastructure,,10,1595
,2019,1,"Environment, Oceans and Fisheries",312,1,15,Von der Leyen,0,17183,Virginijus Sinkevičius,2019-12-01,,1.47,191,0,minister of economy and innovation,dr-08,10,1615
